,IDs,xmol_step_400000,Subtypes
151,xmol_idx151,1,xmol_step_400000
152,xmol_idx152,1,xmol_step_400000
153,xmol_idx153,1,xmol_step_400000
154,xmol_idx154,1,xmol_step_400000
155,xmol_idx155,1,xmol_step_400000
156,xmol_idx156,1,xmol_step_400000
157,xmol_idx157,1,xmol_step_400000
158,xmol_idx158,1,xmol_step_400000
159,xmol_idx159,1,xmol_step_400000
160,xmol_idx160,1,xmol_step_400000
161,xmol_idx161,1,xmol_step_400000
162,xmol_idx162,1,xmol_step_400000
163,xmol_idx163,1,xmol_step_400000
164,xmol_idx164,1,xmol_step_400000
165,xmol_idx165,1,xmol_step_400000
166,xmol_idx166,1,xmol_step_400000
167,xmol_idx167,1,xmol_step_400000
168,xmol_idx168,1,xmol_step_400000
169,xmol_idx169,1,xmol_step_400000
170,xmol_idx170,1,xmol_step_400000
171,xmol_idx171,1,xmol_step_400000
172,xmol_idx172,1,xmol_step_400000
173,xmol_idx173,1,xmol_step_400000
174,xmol_idx174,1,xmol_step_400000
175,xmol_idx175,1,xmol_step_400000
176,xmol_idx176,1,xmol_step_400000
177,xmol_idx177,1,xmol_step_400000
178,xmol_idx178,1,xmol_step_400000
179,xmol_idx179,1,xmol_step_400000
180,xmol_idx180,1,xmol_step_400000
181,xmol_idx181,1,xmol_step_400000
182,xmol_idx182,1,xmol_step_400000
183,xmol_idx183,1,xmol_step_400000
184,xmol_idx184,1,xmol_step_400000
185,xmol_idx185,1,xmol_step_400000
186,xmol_idx186,1,xmol_step_400000
187,xmol_idx187,1,xmol_step_400000
188,xmol_idx188,1,xmol_step_400000
189,xmol_idx189,1,xmol_step_400000
190,xmol_idx190,1,xmol_step_400000
191,xmol_idx191,1,xmol_step_400000
192,xmol_idx192,1,xmol_step_400000
193,xmol_idx193,1,xmol_step_400000
194,xmol_idx194,1,xmol_step_400000
195,xmol_idx195,1,xmol_step_400000
196,xmol_idx196,1,xmol_step_400000
197,xmol_idx197,1,xmol_step_400000
198,xmol_idx198,1,xmol_step_400000
199,xmol_idx199,1,xmol_step_400000
200,xmol_idx200,1,xmol_step_400000
201,xmol_idx201,1,xmol_step_400000
202,xmol_idx202,1,xmol_step_400000
203,xmol_idx203,1,xmol_step_400000
204,xmol_idx204,1,xmol_step_400000
205,xmol_idx205,1,xmol_step_400000
206,xmol_idx206,1,xmol_step_400000
207,xmol_idx207,1,xmol_step_400000
208,xmol_idx208,1,xmol_step_400000
209,xmol_idx209,1,xmol_step_400000
210,xmol_idx210,1,xmol_step_400000
211,xmol_idx211,1,xmol_step_400000
212,xmol_idx212,1,xmol_step_400000
213,xmol_idx213,1,xmol_step_400000
214,xmol_idx214,1,xmol_step_400000
215,xmol_idx215,1,xmol_step_400000
216,xmol_idx216,1,xmol_step_400000
217,xmol_idx217,1,xmol_step_400000
218,xmol_idx218,1,xmol_step_400000
219,xmol_idx219,1,xmol_step_400000
220,xmol_idx220,1,xmol_step_400000
221,xmol_idx221,1,xmol_step_400000
222,xmol_idx222,1,xmol_step_400000
223,xmol_idx223,1,xmol_step_400000
224,xmol_idx224,1,xmol_step_400000
225,xmol_idx225,1,xmol_step_400000
226,xmol_idx226,1,xmol_step_400000
227,xmol_idx227,1,xmol_step_400000
228,xmol_idx228,1,xmol_step_400000
229,xmol_idx229,1,xmol_step_400000
230,xmol_idx230,1,xmol_step_400000
231,xmol_idx231,1,xmol_step_400000
232,xmol_idx232,1,xmol_step_400000
233,xmol_idx233,1,xmol_step_400000
234,xmol_idx234,1,xmol_step_400000
235,xmol_idx235,1,xmol_step_400000
236,xmol_idx236,1,xmol_step_400000
237,xmol_idx237,1,xmol_step_400000
238,xmol_idx238,1,xmol_step_400000
