IDs,xmol_step_400000
xmol_idx318,1
xmol_idx319,1
xmol_idx320,1
xmol_idx321,1
xmol_idx322,1
xmol_idx323,1
xmol_idx324,1
xmol_idx325,1
xmol_idx326,1
xmol_idx327,1
xmol_idx328,1
xmol_idx329,1
xmol_idx330,1
xmol_idx331,1
xmol_idx332,1
xmol_idx333,1
xmol_idx334,1
xmol_idx335,1
xmol_idx336,1
xmol_idx337,1
xmol_idx338,1
xmol_idx339,1
xmol_idx340,1
xmol_idx341,1
xmol_idx342,1
xmol_idx343,1
xmol_idx344,1
xmol_idx345,1
xmol_idx346,1
xmol_idx347,1
xmol_idx348,1
xmol_idx349,1
xmol_idx350,1
xmol_idx351,1
xmol_idx352,1
xmol_idx353,1
xmol_idx354,1
xmol_idx355,1
xmol_idx356,1
xmol_idx357,1
xmol_idx358,1
xmol_idx359,1
xmol_idx360,1
xmol_idx361,1
xmol_idx362,1
xmol_idx363,1
xmol_idx364,1
xmol_idx365,1
xmol_idx366,1
xmol_idx367,1
xmol_idx368,1
xmol_idx369,1
xmol_idx370,1
xmol_idx371,1
xmol_idx372,1
xmol_idx373,1
xmol_idx374,1
xmol_idx375,1
xmol_idx376,1
xmol_idx377,1
xmol_idx378,1
xmol_idx379,1
xmol_idx380,1
xmol_idx381,1
xmol_idx382,1
xmol_idx383,1
xmol_idx384,1
xmol_idx385,1
xmol_idx386,1
xmol_idx387,1
xmol_idx388,1
xmol_idx389,1
xmol_idx390,1
xmol_idx391,1
xmol_idx392,1
xmol_idx393,1
xmol_idx394,1
xmol_idx395,1
xmol_idx396,1
xmol_idx397,1
xmol_idx398,1
xmol_idx399,1
xmol_idx400,1
xmol_idx401,1
xmol_idx402,1
xmol_idx403,1
xmol_idx404,1
xmol_idx405,1
xmol_idx406,1
xmol_idx407,1
xmol_idx408,1
xmol_idx409,1
xmol_idx410,1
xmol_idx411,1
xmol_idx412,1
xmol_idx413,1
xmol_idx414,1
xmol_idx415,1
xmol_idx416,1
xmol_idx417,1
xmol_idx418,1
xmol_idx419,1
xmol_idx420,1
xmol_idx421,1
xmol_idx422,1
xmol_idx423,1
xmol_idx424,1
xmol_idx425,1
xmol_idx426,1
xmol_idx427,1
xmol_idx428,1
xmol_idx429,1
xmol_idx430,1
xmol_idx431,1
xmol_idx432,1
xmol_idx433,1
xmol_idx434,1
xmol_idx435,1
xmol_idx436,1
xmol_idx437,1
xmol_idx438,1
xmol_idx439,1
xmol_idx440,1
xmol_idx441,1
xmol_idx442,1
xmol_idx443,1
xmol_idx444,1
xmol_idx445,1
xmol_idx446,1
xmol_idx447,1
xmol_idx448,1
xmol_idx449,1
xmol_idx450,1
xmol_idx451,1
xmol_idx452,1
xmol_idx453,1
xmol_idx454,1
xmol_idx455,1
xmol_idx456,1
xmol_idx457,1
xmol_idx458,1
xmol_idx459,1
xmol_idx460,1
xmol_idx461,1
xmol_idx462,1
xmol_idx463,1
xmol_idx464,1
xmol_idx465,1
xmol_idx466,1
xmol_idx467,1
xmol_idx468,1
xmol_idx469,1
xmol_idx470,1
xmol_idx471,1
xmol_idx472,1
xmol_idx473,1
xmol_idx474,1
xmol_idx475,1
xmol_idx476,1
xmol_idx477,1
xmol_idx478,1
xmol_idx479,1
xmol_idx480,1
xmol_idx481,1
xmol_idx482,1
xmol_idx483,1
xmol_idx484,1
xmol_idx485,1
xmol_idx486,1
xmol_idx487,1
xmol_idx488,1
xmol_idx489,1
xmol_idx490,1
xmol_idx491,1
xmol_idx492,1
xmol_idx493,1
xmol_idx494,1
xmol_idx495,1
xmol_idx496,1
xmol_idx497,1
xmol_idx498,1
xmol_idx499,1
xmol_idx500,1
xmol_idx501,1
xmol_idx502,1
xmol_idx503,1
xmol_idx504,1
xmol_idx505,1
xmol_idx506,1
xmol_idx507,1
xmol_idx508,1
xmol_idx509,1
xmol_idx510,1
xmol_idx511,1
xmol_idx512,1
xmol_idx513,1
xmol_idx514,1
xmol_idx515,1
xmol_idx516,1
xmol_idx517,1
xmol_idx518,1
xmol_idx519,1
xmol_idx520,1
xmol_idx521,1
xmol_idx522,1
xmol_idx523,1
xmol_idx524,1
xmol_idx525,1
xmol_idx526,1
xmol_idx527,1
xmol_idx528,1
xmol_idx529,1
xmol_idx530,1
xmol_idx531,1
xmol_idx532,1
xmol_idx533,1
xmol_idx534,1
xmol_idx535,1
xmol_idx536,1
xmol_idx537,1
xmol_idx538,1
xmol_idx539,1
xmol_idx540,1
xmol_idx541,1
xmol_idx542,1
xmol_idx543,1
xmol_idx544,1
xmol_idx545,1
xmol_idx546,1
xmol_idx547,1
xmol_idx548,1
xmol_idx549,1
xmol_idx550,1
xmol_idx551,1
xmol_idx552,1
xmol_idx553,1
xmol_idx554,1
xmol_idx555,1
xmol_idx556,1
xmol_idx557,1
xmol_idx558,1
xmol_idx559,1
xmol_idx560,1
xmol_idx561,1
xmol_idx562,1
xmol_idx563,1
xmol_idx564,1
xmol_idx565,1
xmol_idx566,1
xmol_idx567,1
xmol_idx568,1
xmol_idx569,1
xmol_idx570,1
xmol_idx571,1
xmol_idx572,1
xmol_idx573,1
xmol_idx574,1
xmol_idx575,1
xmol_idx576,1
xmol_idx577,1
xmol_idx578,1
xmol_idx579,1
xmol_idx580,1
xmol_idx581,1
xmol_idx582,1
xmol_idx583,1
xmol_idx584,1
xmol_idx585,1
xmol_idx586,1
xmol_idx587,1
xmol_idx588,1
xmol_idx589,1
xmol_idx590,1
xmol_idx591,1
xmol_idx592,1
xmol_idx593,1
xmol_idx594,1
xmol_idx595,1
xmol_idx596,1
xmol_idx597,1
xmol_idx598,1
xmol_idx599,1
xmol_idx600,1
xmol_idx601,1
xmol_idx602,1
xmol_idx603,1
xmol_idx604,1
xmol_idx605,1
xmol_idx606,1
xmol_idx607,1
xmol_idx608,1
xmol_idx609,1
xmol_idx610,1
xmol_idx611,1
xmol_idx612,1
xmol_idx613,1
xmol_idx614,1
xmol_idx615,1
xmol_idx616,1
xmol_idx617,1
xmol_idx618,1
xmol_idx619,1
xmol_idx620,1
xmol_idx621,1
xmol_idx622,1
xmol_idx623,1
xmol_idx624,1
xmol_idx625,1
xmol_idx626,1
xmol_idx627,1
xmol_idx628,1
xmol_idx629,1
xmol_idx630,1
xmol_idx631,1
xmol_idx632,1
xmol_idx633,1
xmol_idx634,1
xmol_idx635,1
xmol_idx636,1
xmol_idx637,1
xmol_idx638,1
xmol_idx639,1
xmol_idx640,1
xmol_idx641,1
xmol_idx642,1
xmol_idx643,1
xmol_idx644,1
xmol_idx645,1
xmol_idx646,1
xmol_idx647,1
xmol_idx648,1
xmol_idx649,1
xmol_idx650,1
xmol_idx651,1
xmol_idx652,1
xmol_idx653,1
xmol_idx654,1
xmol_idx655,1
xmol_idx656,1
xmol_idx657,1
xmol_idx658,1
xmol_idx659,1
xmol_idx660,1
xmol_idx661,1
xmol_idx662,1
xmol_idx663,1
xmol_idx664,1
xmol_idx665,1
xmol_idx666,1
xmol_idx667,1
xmol_idx668,1
xmol_idx669,1
xmol_idx670,1
