IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D
esm2_t36_3B_UR50D_idx126,0,1,0
esm2_t36_3B_UR50D_idx127,0,1,0
esm2_t36_3B_UR50D_idx128,0,1,0
esm2_t36_3B_UR50D_idx129,0,1,0
esm2_t36_3B_UR50D_idx130,0,1,0
esm2_t36_3B_UR50D_idx131,0,1,0
esm2_t36_3B_UR50D_idx132,0,1,0
esm2_t36_3B_UR50D_idx133,0,1,0
esm2_t36_3B_UR50D_idx134,0,1,0
esm2_t36_3B_UR50D_idx135,0,1,0
esm2_t36_3B_UR50D_idx136,0,1,0
esm2_t36_3B_UR50D_idx137,0,1,0
esm2_t36_3B_UR50D_idx138,0,1,0
esm2_t36_3B_UR50D_idx139,0,1,0
esm2_t36_3B_UR50D_idx140,0,1,0
esm2_t36_3B_UR50D_idx141,0,1,0
esm2_t36_3B_UR50D_idx142,0,1,0
esm2_t36_3B_UR50D_idx143,0,1,0
esm2_t36_3B_UR50D_idx144,0,1,0
esm2_t36_3B_UR50D_idx145,0,1,0
esm2_t36_3B_UR50D_idx146,0,1,0
esm2_t36_3B_UR50D_idx147,0,1,0
esm2_t36_3B_UR50D_idx148,0,1,0
esm2_t36_3B_UR50D_idx149,0,1,0
esm2_t36_3B_UR50D_idx150,0,1,0
esm2_t36_3B_UR50D_idx151,0,1,0
esm2_t36_3B_UR50D_idx152,0,1,0
esm2_t36_3B_UR50D_idx153,0,1,0
esm2_t36_3B_UR50D_idx154,0,1,0
esm2_t36_3B_UR50D_idx155,0,1,0
esm2_t36_3B_UR50D_idx156,0,1,0
esm2_t36_3B_UR50D_idx157,0,1,0
esm2_t36_3B_UR50D_idx158,0,1,0
esm2_t36_3B_UR50D_idx159,0,1,0
esm2_t36_3B_UR50D_idx160,0,1,0
esm2_t36_3B_UR50D_idx161,0,1,0
esm2_t36_3B_UR50D_idx162,0,1,0
esm2_t36_3B_UR50D_idx163,0,1,0
esm2_t36_3B_UR50D_idx164,0,1,0
esm2_t36_3B_UR50D_idx165,0,1,0
esm2_t36_3B_UR50D_idx166,0,1,0
