,IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D,Subtypes
74,esm2_t36_3B_UR50D_idx74,0,1,0,esm2_t36_3B_UR50D
75,esm2_t36_3B_UR50D_idx75,0,1,0,esm2_t36_3B_UR50D
76,esm2_t36_3B_UR50D_idx76,0,1,0,esm2_t36_3B_UR50D
77,esm2_t36_3B_UR50D_idx77,0,1,0,esm2_t36_3B_UR50D
78,esm2_t36_3B_UR50D_idx78,0,1,0,esm2_t36_3B_UR50D
79,esm2_t36_3B_UR50D_idx79,0,1,0,esm2_t36_3B_UR50D
80,esm2_t36_3B_UR50D_idx80,0,1,0,esm2_t36_3B_UR50D
81,esm2_t36_3B_UR50D_idx81,0,1,0,esm2_t36_3B_UR50D
82,esm2_t36_3B_UR50D_idx82,0,1,0,esm2_t36_3B_UR50D
83,esm2_t36_3B_UR50D_idx83,0,1,0,esm2_t36_3B_UR50D
84,esm2_t36_3B_UR50D_idx84,0,1,0,esm2_t36_3B_UR50D
85,esm2_t36_3B_UR50D_idx85,0,1,0,esm2_t36_3B_UR50D
86,esm2_t36_3B_UR50D_idx86,0,1,0,esm2_t36_3B_UR50D
87,esm2_t36_3B_UR50D_idx87,0,1,0,esm2_t36_3B_UR50D
88,esm2_t36_3B_UR50D_idx88,0,1,0,esm2_t36_3B_UR50D
89,esm2_t36_3B_UR50D_idx89,0,1,0,esm2_t36_3B_UR50D
90,esm2_t36_3B_UR50D_idx90,0,1,0,esm2_t36_3B_UR50D
91,esm2_t36_3B_UR50D_idx91,0,1,0,esm2_t36_3B_UR50D
92,esm2_t36_3B_UR50D_idx92,0,1,0,esm2_t36_3B_UR50D
93,esm2_t36_3B_UR50D_idx93,0,1,0,esm2_t36_3B_UR50D
94,esm2_t36_3B_UR50D_idx94,0,1,0,esm2_t36_3B_UR50D
95,esm2_t36_3B_UR50D_idx95,0,1,0,esm2_t36_3B_UR50D
96,esm2_t36_3B_UR50D_idx96,0,1,0,esm2_t36_3B_UR50D
97,esm2_t36_3B_UR50D_idx97,0,1,0,esm2_t36_3B_UR50D
98,esm2_t36_3B_UR50D_idx98,0,1,0,esm2_t36_3B_UR50D
99,esm2_t36_3B_UR50D_idx99,0,1,0,esm2_t36_3B_UR50D
100,esm2_t36_3B_UR50D_idx100,0,1,0,esm2_t36_3B_UR50D
101,esm2_t36_3B_UR50D_idx101,0,1,0,esm2_t36_3B_UR50D
102,esm2_t36_3B_UR50D_idx102,0,1,0,esm2_t36_3B_UR50D
103,esm2_t36_3B_UR50D_idx103,0,1,0,esm2_t36_3B_UR50D
104,esm2_t36_3B_UR50D_idx104,0,1,0,esm2_t36_3B_UR50D
105,esm2_t36_3B_UR50D_idx105,0,1,0,esm2_t36_3B_UR50D
106,esm2_t36_3B_UR50D_idx106,0,1,0,esm2_t36_3B_UR50D
107,esm2_t36_3B_UR50D_idx107,0,1,0,esm2_t36_3B_UR50D
108,esm2_t36_3B_UR50D_idx108,0,1,0,esm2_t36_3B_UR50D
109,esm2_t36_3B_UR50D_idx109,0,1,0,esm2_t36_3B_UR50D
110,esm2_t36_3B_UR50D_idx110,0,1,0,esm2_t36_3B_UR50D
111,esm2_t36_3B_UR50D_idx111,0,1,0,esm2_t36_3B_UR50D
112,esm2_t36_3B_UR50D_idx112,0,1,0,esm2_t36_3B_UR50D
113,esm2_t36_3B_UR50D_idx113,0,1,0,esm2_t36_3B_UR50D
114,esm2_t36_3B_UR50D_idx114,0,1,0,esm2_t36_3B_UR50D
115,esm2_t36_3B_UR50D_idx115,0,1,0,esm2_t36_3B_UR50D
116,esm2_t36_3B_UR50D_idx116,0,1,0,esm2_t36_3B_UR50D
117,esm2_t36_3B_UR50D_idx117,0,1,0,esm2_t36_3B_UR50D
118,esm2_t36_3B_UR50D_idx118,0,1,0,esm2_t36_3B_UR50D
119,esm2_t36_3B_UR50D_idx119,0,1,0,esm2_t36_3B_UR50D
120,esm2_t36_3B_UR50D_idx120,0,1,0,esm2_t36_3B_UR50D
121,esm2_t36_3B_UR50D_idx121,0,1,0,esm2_t36_3B_UR50D
122,esm2_t36_3B_UR50D_idx122,0,1,0,esm2_t36_3B_UR50D
123,esm2_t36_3B_UR50D_idx123,0,1,0,esm2_t36_3B_UR50D
124,esm2_t36_3B_UR50D_idx124,0,1,0,esm2_t36_3B_UR50D
125,esm2_t36_3B_UR50D_idx125,0,1,0,esm2_t36_3B_UR50D
126,esm2_t36_3B_UR50D_idx126,0,1,0,esm2_t36_3B_UR50D
127,esm2_t36_3B_UR50D_idx127,0,1,0,esm2_t36_3B_UR50D
128,esm2_t36_3B_UR50D_idx128,0,1,0,esm2_t36_3B_UR50D
129,esm2_t36_3B_UR50D_idx129,0,1,0,esm2_t36_3B_UR50D
130,esm2_t36_3B_UR50D_idx130,0,1,0,esm2_t36_3B_UR50D
